feature_1,feature_2,corr
LLC,IPv,1.0
Tot_size,AVG,1.0
IPv,ARP,-0.9999999999999647
LLC,ARP,-0.9999999999999647
fin_count,fin_flag_number,0.9975331003781422
syn_count,syn_flag_number,0.9932134765703241
rst_count,rst_flag_number,0.9895566418274302
rst_count,fin_count,0.9547799473856868
rst_count,fin_flag_number,0.9516376412270594
fin_count,rst_flag_number,0.9429337685010737
rst_flag_number,fin_flag_number,0.9406166624364481
Std,Max,0.923841078096516
ack_count,psh_flag_number,0.9076876110911498
TCP,Header_Length,0.8968076548773974
ack_flag_number,psh_flag_number,0.7959416958095216
cwr_flag_number,ece_flag_number,0.7919539107214738
ack_count,ack_flag_number,0.7837064422038406
Variance,Std,0.7750409113955734
Std,AVG,0.7531289683548608
Tot_size,Std,0.7531289683548608
Tot_size,Max,0.7494253117830101
AVG,Max,0.7494253117830101
Variance,Max,0.7368703837524772
AVG,Tot_sum,0.7134639994613983
Tot_size,Tot_sum,0.7134639994613983
UDP,TCP,-0.6307078606608195
Number,Time_To_Live,-0.5828899078314196
ICMP,Header_Length,-0.5505676705257528
Number,HTTPS,-0.538794047254998
Number,ack_flag_number,-0.5285396581259971
ack_flag_number,Header_Length,0.5038853114129602
AVG,Min,0.49489735953979536
Tot_size,Min,0.49489735953979536
Variance,AVG,0.4846420378296732
Variance,Tot_size,0.4846420378296732
TCP,syn_flag_number,0.4638254253639408
TCP,syn_count,0.45694536774360883
HTTPS,Time_To_Live,0.45152451847684444
Tot_sum,Header_Length,-0.4490671443043491
Number,Std,-0.43816666677663996
ICMP,TCP,-0.4196687929321192
HTTPS,ack_flag_number,0.4165665415758013
HTTPS,Header_Length,0.41334377303772957
Tot_sum,TCP,-0.40709721752601996
Number,Header_Length,-0.40063940352355387
ack_flag_number,Time_To_Live,0.3973996046595879
Max,Tot_sum,0.39164433446599217
Min,Tot_sum,0.39009484468201766
Number,Max,-0.3671030701877341
Std,Tot_sum,0.3622840046112593
TCP,ack_flag_number,0.3620188996862534
syn_flag_number,Header_Length,0.35026567799951713
Std,HTTPS,0.3489433349519332
Std,ack_flag_number,0.3467524158921516
UDP,Header_Length,-0.34184394227343184
syn_count,Header_Length,0.3375759697552635
Number,DNS,-0.32827180039257353
Max,HTTPS,0.31761703321113566
Number,AVG,-0.31440745910391077
Number,Tot_size,-0.31440745910391077
Number,IPv,0.3075648556595763
Number,LLC,0.3075648556595763
Number,ARP,-0.30756481229483484
TCP,ack_count,0.30330906381887496
TCP,psh_flag_number,0.29716620709828817
Max,ack_flag_number,0.29581681085964856
UDP,syn_flag_number,-0.2943061106385216
UDP,syn_count,-0.29113360037243197
psh_flag_number,Header_Length,0.2847451446219814
Time_To_Live,Header_Length,0.281959808167091
TCP,rst_flag_number,0.27927245296913134
TCP,rst_count,0.2738741507170785
ack_count,Header_Length,0.2671637123748604
TCP,HTTPS,0.25907568915246865
Variance,Number,-0.2578406648756137
Tot_size,Rate,-0.2557964003636074
AVG,Rate,-0.2557964003636074
Tot_size,HTTPS,0.24665294881878713
AVG,HTTPS,0.24665294881878713
TCP,fin_flag_number,0.24100369958466772
TCP,HTTP,0.2400420321094748
Std,Time_To_Live,0.2387660269667676
TCP,fin_count,0.2381841185118558
HTTP,Header_Length,0.2371800913005493
Tot_sum,Rate,-0.23456394326755797
Variance,HTTPS,0.22522366216086712
UDP,ack_flag_number,-0.22267227633853048
AVG,syn_flag_number,-0.22212106395600184
Tot_size,syn_flag_number,-0.22212106395600184
AVG,syn_count,-0.21955301988205278
Tot_size,syn_count,-0.21955301988205278
Tot_size,ack_flag_number,0.21461781965341026
AVG,ack_flag_number,0.21461781965341026
Tot_sum,syn_flag_number,-0.21020712245609155
Max,Time_To_Live,0.20997150468743936
Max,Min,0.2081355916410656
Tot_size,TCP,-0.20776770081291382
AVG,TCP,-0.20776770081291382
Variance,ack_flag_number,0.20544991066039964
rst_flag_number,Header_Length,0.2051511882302876
UDP,ack_count,-0.20369823455809058
Tot_sum,syn_count,-0.20247760382874727
Max,Rate,-0.20199246770541035
ICMP,UDP,-0.2005028336895577
rst_count,Header_Length,0.19898186589595754
Min,TCP,-0.19242670637774442
syn_count,ack_flag_number,-0.19134653517168135
Std,Rate,-0.18892737562299175
ICMP,syn_flag_number,-0.18668453419920453
IRC,Telnet,0.1844814593235877
ICMP,syn_count,-0.18261347606103262
ack_flag_number,syn_flag_number,-0.18158585899244786
UDP,psh_flag_number,-0.18084525351696534
fin_flag_number,Header_Length,0.18055901424321802
UDP,rst_flag_number,-0.17843472291069368
UDP,rst_count,-0.1752093561438233
syn_count,psh_flag_number,-0.17264038329177325
psh_flag_number,syn_flag_number,-0.17237009635605566
LLC,DNS,-0.17214372878000062
IPv,DNS,-0.17214372878000062
ARP,DNS,0.17214371320635563
fin_count,Header_Length,0.17182279377299117
ICMP,ack_flag_number,-0.17178498491600977
Std,Header_Length,0.1675352785822649
Number,syn_count,0.16119354491355242
Min,Header_Length,-0.16115297098713102
Number,Tot_sum,0.1572135876727116
Number,Rate,0.15432284085168127
UDP,fin_flag_number,-0.15221813517015498
UDP,fin_count,-0.15157974370897903
Max,syn_flag_number,-0.14937366964598692
Max,syn_count,-0.14926257848960436
UDP,HTTP,-0.14924261411571133
DNS,Time_To_Live,0.14912998912821385
UDP,HTTPS,-0.14911349839506696
AVG,Time_To_Live,0.14263043338123013
Tot_size,Time_To_Live,0.14263043338123013
Std,syn_count,-0.14207164374073275
Std,syn_flag_number,-0.14063351124716897
Tot_sum,psh_flag_number,-0.13853728325396303
Variance,Header_Length,0.13644162176086091
Rate,Time_To_Live,-0.13551425011616794
ICMP,ack_count,-0.13353072015322576
Number,TCP,-0.13285572996372777
syn_flag_number,fin_flag_number,-0.13239025261342213
Tot_size,rst_flag_number,-0.13059939444494953
AVG,rst_flag_number,-0.13059939444494953
syn_count,fin_flag_number,-0.13029515304287154
fin_count,syn_flag_number,-0.12995720993979404
AVG,rst_count,-0.1283323377155015
Tot_size,rst_count,-0.1283323377155015
ICMP,psh_flag_number,-0.128207849889647
ack_count,syn_flag_number,-0.12812832880326092
Min,syn_flag_number,-0.12809118732254962
fin_count,syn_count,-0.12698700761859563
Variance,Time_To_Live,0.12673439265350753
syn_count,ack_count,-0.12542320233318904
Min,syn_count,-0.1251862045442106
Number,syn_flag_number,0.12242502947030046
syn_count,rst_flag_number,-0.12240596880439433
Tot_sum,rst_flag_number,-0.12230562706319567
rst_count,syn_flag_number,-0.12226750806818584
ICMP,HTTPS,-0.12219139215844689
fin_count,ack_flag_number,-0.12006418428136112
rst_count,syn_count,-0.1193666954585086
rst_flag_number,syn_flag_number,-0.11933097078381535
Tot_sum,rst_count,-0.11707688618229495
Min,Rate,-0.11705341554884312
ARP,Rate,-0.11654809738819626
LLC,Rate,0.11654808594196124
IPv,Rate,0.11654808594196124
AVG,fin_flag_number,-0.11502390407170635
Tot_size,fin_flag_number,-0.11502390407170635
Tot_size,fin_count,-0.11495101236534748
AVG,fin_count,-0.11495101236534748
Max,Header_Length,0.11454165438645951
Tot_sum,HTTPS,-0.11296795637032826
Variance,Tot_sum,0.11263767511472454
ICMP,rst_flag_number,-0.11235021181361646
syn_count,Time_To_Live,-0.1114891046192498
Number,ICMP,0.11077260641060904
Tot_sum,fin_flag_number,-0.11066524042546685
ICMP,rst_count,-0.1098518522601478
ack_flag_number,fin_flag_number,-0.10858878020930889
Std,IPv,-0.10814696187465572
Std,LLC,-0.10814696187465572
Std,ARP,0.10814696171819566
Tot_sum,fin_count,-0.10644565339344131
Tot_sum,ack_flag_number,-0.10558772868662797
Number,SSH,-0.10405095655444313
Number,psh_flag_number,-0.10271698919259943
syn_flag_number,Time_To_Live,-0.1024253998510614
IPv,ack_flag_number,-0.10180251126019176
LLC,ack_flag_number,-0.10180251126019176
ARP,ack_flag_number,0.10180248986728717
AVG,Header_Length,-0.10128446746041905
Tot_size,Header_Length,-0.10128446746041905
HTTPS,psh_flag_number,0.10051519754070118
DNS,Rate,-0.10037444938532777
ICMP,HTTP,-0.10005636495084734
DNS,ack_flag_number,0.09774456137635382
ICMP,fin_flag_number,-0.09741295691575243
Number,DHCP,-0.09718618886020705
SMTP,Telnet,0.09714816908066928
TCP,Time_To_Live,0.09666082497402022
Number,rst_count,0.09542877991366705
IPv,HTTPS,-0.09519159081369248
LLC,HTTPS,-0.09519159081369248
ARP,HTTPS,0.09519156632226665
ICMP,fin_count,-0.09512618823217911
HTTP,ack_flag_number,0.09251102343574966
ack_count,fin_flag_number,-0.09248513848506426
fin_count,ack_count,-0.091709940582017
TCP,Rate,0.09069910404765548
fin_count,psh_flag_number,-0.08996283886692125
Tot_sum,Time_To_Live,-0.08917900732818859
HTTP,ack_count,0.08838637447636548
Max,ARP,0.08694961603056342
Max,IPv,-0.08694961580857234
Max,LLC,-0.08694961580857234
psh_flag_number,fin_flag_number,-0.08678087957823241
Tot_sum,HTTP,-0.08625371858904105
rst_count,ack_flag_number,-0.08417346986771615
DNS,HTTPS,0.08393559892822172
Number,fin_count,0.08380731251557576
rst_count,Rate,0.08371489402173478
HTTPS,Rate,-0.08364778893760906
Max,rst_flag_number,-0.08329645816343466
Std,DNS,0.08252335250256075
Max,rst_count,-0.08182022365155213
rst_flag_number,Rate,0.08179770986767355
HTTP,syn_flag_number,0.08087314274430386
HTTP,syn_count,0.08023308585272729
ICMP,Rate,0.07956627845591296
HTTP,rst_count,0.07946388374643873
Variance,Rate,-0.07942442533406562
Std,rst_flag_number,-0.07872930332596254
Std,rst_count,-0.0781742343459991
Min,rst_flag_number,-0.07686229622055375
HTTP,rst_flag_number,0.07681341114597855
Min,rst_count,-0.07511452361188833
HTTPS,HTTP,-0.07442858884328253
IPv,DHCP,-0.07418317001632624
LLC,DHCP,-0.07418317001632624
ARP,DHCP,0.07418316360035075
Max,fin_count,-0.07408828439282338
Number,Min,-0.07335644566072484
psh_flag_number,Time_To_Live,0.07330090297460315
LLC,Time_To_Live,-0.07300946618644251
IPv,Time_To_Live,-0.07300946618644251
ARP,Time_To_Live,0.07300944308538021
Min,ICMP,-0.07255694700104683
Std,fin_count,-0.07240575834594812
Std,UDP,-0.07188836808272467
Max,fin_flag_number,-0.07160132993666249
Min,ack_count,-0.07093252930947445
ARP,syn_count,-0.07026617885062104
LLC,syn_count,0.07026617873469784
IPv,syn_count,0.07026617873469784
ack_flag_number,rst_flag_number,-0.06913381974072574
HTTP,psh_flag_number,0.06903861063100722
fin_count,Rate,0.06893676568174753
Std,fin_flag_number,-0.0686380110333636
Max,DNS,0.06804716222955111
Min,fin_flag_number,-0.06711611940108644
Min,fin_count,-0.0655094578209383
Number,rst_flag_number,0.06500155888156642
fin_flag_number,Rate,0.06471311721260684
rst_count,Time_To_Live,-0.06455926321108818
syn_flag_number,Rate,0.06386937847737695
DNS,syn_count,-0.06353011381735744
ack_flag_number,Rate,-0.062302637857075634
Number,fin_flag_number,0.06221421140563762
ICMP,Time_To_Live,-0.06214655906101526
Min,HTTPS,0.06116265886417763
syn_count,Rate,0.06094439500402237
Variance,syn_count,-0.06087033582671851
ARP,syn_flag_number,-0.0606271734924368
LLC,syn_flag_number,0.0606271718220377
IPv,syn_flag_number,0.0606271718220377
Variance,syn_flag_number,-0.06047459389668993
fin_count,Time_To_Live,-0.06027162779643388
SSH,ack_flag_number,0.05989544736707265
UDP,DNS,0.05873429521216429
Tot_sum,ICMP,0.05866501019706373
psh_flag_number,rst_flag_number,-0.05855299786985959
DHCP,Time_To_Live,0.05835164087867486
Std,Min,0.057241332169925406
rst_count,psh_flag_number,-0.056981421379726546
DNS,Header_Length,0.05637891616032013
IRC,SMTP,0.055810819855346264
Min,HTTP,-0.05572956648129838
DHCP,DNS,0.054365258752949654
AVG,psh_flag_number,-0.05355369193834952
Tot_size,psh_flag_number,-0.05355369193834952
fin_flag_number,Time_To_Live,-0.05346179506135473
Min,ARP,-0.05253093183809772
Min,IPv,0.05253091948347447
Min,LLC,0.05253091948347447
AVG,ARP,0.05182563799207129
Tot_size,ARP,0.05182563799207129
Tot_size,IPv,-0.05182562594667049
Tot_size,LLC,-0.05182562594667049
AVG,LLC,-0.05182562594667049
AVG,IPv,-0.05182562594667049
UDP,Rate,-0.05047666026913855
HTTP,fin_flag_number,0.04992644882647082
DNS,syn_flag_number,-0.0481179190867422
Number,IGMP,-0.048107819962711164
Min,psh_flag_number,-0.04784005517251829
HTTP,fin_count,0.04705700475771757
IPv,SSH,-0.04704005481280194
LLC,SSH,-0.04704005481280194
ARP,SSH,0.04704004992063589
Variance,TCP,0.04584009563323102
SSH,Header_Length,0.04572064435465223
rst_flag_number,Time_To_Live,-0.04551870459838991
Max,UDP,-0.04433846503371423
AVG,HTTP,-0.04418101199193128
Tot_size,HTTP,-0.04418101199193128
ARP,rst_count,-0.04332168081283964
IPv,rst_count,0.04332167965197041
LLC,rst_count,0.04332167965197041
Variance,UDP,-0.04317869373959925
Std,ack_count,0.043038996748878296
SSH,DNS,0.041832135267691896
ARP,TCP,-0.041118971583711854
IPv,TCP,0.041118954032320826
LLC,TCP,0.041118954032320826
Number,ack_count,0.04084832725179625
DNS,rst_count,-0.04066209450316705
Variance,LLC,-0.04059256160184997
Variance,IPv,-0.04059256160184997
Variance,ARP,0.04059255697906609
Min,DNS,-0.040180779018699875
ARP,rst_flag_number,-0.03991593445597841
IPv,rst_flag_number,0.03991593243167632
LLC,rst_flag_number,0.03991593243167632
Number,ece_flag_number,-0.03989590580650668
ack_count,Rate,0.03983487789711593
DNS,rst_flag_number,-0.03956098029401206
ack_count,rst_flag_number,-0.039328053017864496
rst_count,ack_count,-0.03832757597242168
Number,cwr_flag_number,-0.03760526427530498
Std,DHCP,0.0368984608925474
HTTPS,ack_count,0.03682344428634997
Max,DHCP,0.03672025922941286
ARP,fin_count,-0.036548518085797295
IPv,fin_count,0.0365485177289304
LLC,fin_count,0.0365485177289304
Variance,Min,0.035881767422348956
DHCP,HTTPS,0.034624674707148674
psh_flag_number,Rate,0.03439026255405333
